# 0816eb8a-89eb-4d93-bf70-771e8b769744
3	2	1	14	4
0.0	10.9	17.3
24.4	0.0	42.2
16.0	20.5	0.0
1	4845	1	2
2	4650	1	3
3	2231	1	2
4	2276	1	1
1	70.8	22.8	14925	15751	8005
2	49.3	12.3	17329	13203	8984
1	76	47.1
1	36.2	26.7	3392	0	1460
2	98.5	68.4	0	1638	0
3	80.6	98	2999	963	0
4	72.4	2.5	835	0	0
5	99.2	54.2	0	535	0
6	8.7	60.6	4200	3915	4741
7	34.2	33.1	0	0	1244
8	61.4	88.6	1619	0	0
9	18.9	17.3	2883	4964	4319
10	89.1	44.1	0	4388	0
11	29.1	84.8	3918	3881	810
12	46.1	97.1	2010	2391	0
13	99.4	69.5	2570	0	0
14	27.5	68.8	789	0	535
