# c166eeb8-6ed9-4f60-a7c5-5e4d5b5aa667
3	1	1	15	3
0.0	28.6	14.7
15.4	0.0	38.5
16.7	23.2	0.0
1	3481	1	2
2	4635	1	3
3	2895	1	3
1	3.7	19.5	24889	38563	22354
1	18.8	93.1
1	91.4	66	0	0	4763
2	98	29.5	0	3003	2483
3	70.2	64.2	0	1239	1531
4	89	85.4	0	4437	0
5	32.7	26.2	3631	1965	0
6	44.3	41.7	4005	3939	3711
7	53.9	23.1	0	1708	0
8	38.6	49.6	1768	4650	0
9	58.5	64.1	2027	4748	0
10	25.7	17.4	1484	2033	0
11	98.1	63.7	0	0	3607
12	18.6	83.4	3981	0	0
13	77.1	41.9	0	2824	3839
14	83	99.9	1714	3784	0
15	86.3	27.2	2434	3139	0
