# 37fb4204-ae4a-499d-b331-f260af235065
3	1	1	15	3
0.0	46.1	42.8
23.6	0.0	27.8
45.9	22.0	0.0
1	1672	1	3
2	3941	1	3
3	2680	1	3
1	34.3	46.6	25302	25913	16487
1	74	65.1
1	59.2	6.5	0	0	3443
2	99	56.5	1872	0	0
3	58.6	99.8	605	1868	1832
4	98.1	83.1	2177	4271	0
5	8.5	88.9	0	0	2770
6	77.4	74.1	601	2671	0
7	27.3	22.1	4415	3674	0
8	38.2	74.2	2607	0	0
9	57.7	20.8	0	0	1006
10	43.1	74.6	1512	1057	3181
11	77.3	61.8	4483	0	0
12	9	18.7	1499	0	0
13	61.6	76.2	0	3417	0
14	59.7	38.9	1775	4798	0
15	22	13.6	1804	1523	0
