# 6d38a5a8-31ee-4252-b6ba-85df63f23400
3	2	1	14	5
0.0	30.4	18.5
39.5	0.0	22.2
44.0	18.2	0.0
1	2752	1	3
2	1398	1	1
3	2377	1	1
4	1970	1	2
5	1456	1	3
1	64.9	96.3	11718	9673	12475
2	79.4	91.5	13458	13071	14048
1	14.5	2.4
1	58.5	58.5	0	835	1305
2	85.4	59.1	0	0	4128
3	21.5	43.6	2581	2945	3837
4	17	38.2	0	0	1581
5	7	34.2	0	0	2219
6	42.6	1.1	555	0	1270
7	75.6	99.4	4602	0	0
8	74.6	32.8	0	1640	0
9	66.6	35.2	0	0	4082
10	79.1	66.9	0	1565	0
11	39.3	46.7	0	0	1271
12	58.7	62.9	2008	2532	0
13	54.3	29.3	4283	3526	0
14	97.4	92.9	3924	4297	0
