# 3f08d41a-929b-4c5f-b3e6-caad4e5cf3eb
6	4	2	49	20
0.0	57.8	78.9	47.9	49.6	31.3
64.0	0.0	76.5	66.3	61.2	50.3
58.7	50.5	0.0	69.4	77.8	47.3
61.5	46.4	28.0	0.0	20.5	15.7
85.3	68.1	98.6	80.6	0.0	57.3
67.1	36.8	69.6	15.2	88.0	0.0
1	24594	1	1
2	29026	2	5
3	39606	1	1
4	18996	1	5
5	31482	1	2
6	23797	2	2
7	34413	2	2
8	10469	2	5
9	20747	1	5
10	37564	2	4
11	10547	1	4
12	23885	1	2
13	19123	1	6
14	26292	2	5
15	23392	2	2
16	34610	2	5
17	36566	1	4
18	29405	2	3
19	28219	2	6
20	11205	2	4
1	126.2	249.4	70015	80975	87001	98117	62525	71746
2	480.8	385.9	69734	82626	84701	98105	63831	75166
3	486.1	27.5	68428	82797	86021	101038	65176	72789
4	245.8	434.2	71637	82909	86258	98487	63810	73455
1	467.6	186.6
2	286.8	437.4
1	358.4	343.1	18477	19011	14939	13097	0	0
2	209.7	14.5	0	0	0	6868	0	23902
3	486.2	137.7	5832	9591	2688	17758	0	19289
4	351.4	385	8834	0	2053	4995	2904	0
5	186.1	387.5	0	0	0	16656	0	11490
6	319.8	466.6	0	0	5281	0	1420	17816
7	283	309.3	0	0	22124	4829	10972	0
8	188.6	297	0	6795	0	0	0	0
9	73.5	132.2	23282	1344	15429	19920	0	0
10	216.2	277.1	0	0	0	1328	9286	23846
11	28.8	16.2	4231	7384	0	21712	0	15776
12	48.7	66.9	14243	0	21838	0	0	17160
13	100.8	10.4	0	0	0	23702	4866	7462
14	462	193.7	0	17397	23944	17843	0	3243
15	11	355.1	9431	24198	0	13152	0	0
16	26.1	49.1	0	0	7426	0	0	0
17	103.5	87.1	0	0	0	0	12768	0
18	204.8	227.3	0	8049	0	0	0	0
19	209.4	62.3	4717	0	20851	19013	5269	0
20	365	49.9	0	6255	23013	0	9527	0
21	197.7	407.1	6090	0	7188	3295	3605	6395
22	248.3	243.6	10908	0	0	0	17822	0
23	93.2	59.6	0	9088	0	0	24942	0
24	353.8	162.8	0	0	0	18861	0	23899
25	249.1	33.1	14747	7197	12528	0	0	0
26	414.1	262.9	0	1763	0	0	0	0
27	406.6	390.4	24171	15115	5662	9941	0	0
28	136.6	403.1	0	0	23068	0	10045	3009
29	208.9	350.9	0	16195	0	0	0	0
30	93.4	23.6	0	0	14979	23157	24367	15598
31	269.7	109.1	0	19284	0	0	0	8602
32	161	41.4	15705	0	0	4277	0	0
33	260.2	3.2	0	6459	12678	0	0	0
34	429.1	191.6	0	0	4356	19856	0	24491
35	392.8	136.4	0	21007	23487	23877	0	19180
36	245.5	199.3	15000	0	0	0	0	0
37	455.8	336.9	17175	0	0	0	3497	0
38	333.1	272	18782	20424	3365	24925	21647	6979
39	412.7	442.1	0	22234	0	0	8642	0
40	34.4	409	14945	0	5042	10303	17771	0
41	73.2	15.4	0	13685	15441	9904	6308	5116
42	82.6	261	22497	23296	0	16657	9190	15992
43	421.3	474.7	0	11160	0	1168	0	0
44	344.6	290.8	0	20176	0	14870	21579	0
45	242.3	11.6	0	8406	0	0	1862	0
46	228	495.9	0	0	3314	0	0	0
47	432.8	162.1	0	0	22784	0	3371	8140
48	456.9	289.7	0	0	16358	10983	2982	5424
49	480.1	232.6	19818	0	0	14180	10878	0
