# d98263bc-920e-473e-a8f5-92bf3ac31314
5	3	3	41	17
0.0	42.5	66.5	53.9	89.6
30.7	0.0	39.1	49.5	54.5
96.4	96.1	0.0	81.5	83.4
86.9	58.2	87.7	0.0	96.0
71.9	63.9	19.3	56.1	0.0
1	27820	3	1
2	21807	1	4
3	20201	1	4
4	31056	1	1
5	14271	3	3
6	17793	1	2
7	36040	3	2
8	39203	1	1
9	19784	2	2
10	11184	3	3
11	19512	3	3
12	21344	2	4
13	25678	3	1
14	30652	1	3
15	13456	3	1
16	27515	3	3
17	28970	1	2
1	374.8	64.6	90772	86286	74548	111286	106522
2	449.4	131.7	91157	87915	76710	111619	106715
3	334.6	29.1	91293	85205	77975	111400	106869
1	68.8	478.1
2	299.4	499.2
3	144.1	159.7
1	238.7	393.1	0	0	0	11528	24324
2	450.3	204.6	20024	12155	0	15664	0
3	194.3	284.9	0	0	1275	3610	6800
4	277.2	12	21781	13024	3857	0	0
5	470.1	270.6	23346	0	22914	13632	0
6	404	424.5	0	6637	0	16283	0
7	377.3	107	17212	24970	5326	21777	0
8	182.2	86.3	7277	23610	0	13821	5306
9	208.2	251.1	0	15672	0	16009	0
10	218.4	479	20984	0	0	14198	0
11	221.5	50	0	15680	0	0	9008
12	350.3	211.5	13595	0	0	7545	0
13	265.5	433.8	18845	0	0	6958	3468
14	235.1	58	0	21863	3625	16173	20624
15	312.4	234	935	21609	0	9271	22260
16	263.2	393.1	12449	19837	0	0	12724
17	16	47.1	10389	0	0	0	0
18	455.8	454.5	0	13907	0	10448	0
19	499.7	363	0	0	0	0	21505
20	303.8	404.5	0	0	10613	0	15818
21	302.1	465.3	9086	0	4112	0	22737
22	83.2	31.3	6710	0	11447	0	19327
23	256.1	213.3	5796	21858	9479	21050	0
24	178.8	1.9	0	0	10594	900	0
25	438.3	129.1	3281	0	0	0	0
26	2.6	334.7	0	4468	0	1801	0
27	281.1	110.7	0	12770	13420	10790	0
28	277.5	1.5	0	3654	5509	0	0
29	271.4	65.9	0	0	0	13672	13026
30	227.4	477.7	0	0	19282	0	15480
31	300.2	281.7	15253	0	23794	10829	7776
32	284.5	348	0	2658	22259	0	0
33	380.9	430.7	0	2920	0	18429	9398
34	270.4	229.5	0	0	7483	23513	19068
35	287.7	87.2	13796	13455	0	17740	0
36	303.6	342.4	13356	0	0	17431	0
37	151	460.7	0	0	4302	0	0
38	320.5	2.2	17588	0	22550	0	24581
39	382.5	423.1	0	0	2643	0	22950
40	225.4	386.5	10913	0	15332	16406	19011
41	151.5	394.9	2130	0	0	0	0
