# 0ba50e4b-5cc0-47aa-b428-88c83be6e5a0
4	3	2	41	12
0.0	10.4	45.0	26.4
61.7	0.0	37.1	44.0
60.6	41.4	0.0	92.9
80.0	27.8	92.8	0.0
1	28747	1	3
2	31817	1	4
3	25620	2	4
4	28017	1	1
5	32466	1	3
6	15861	1	4
7	14196	2	2
8	23962	1	4
9	36088	2	1
10	28098	2	4
11	25931	1	4
12	32335	2	3
1	490.5	315.3	109877	120334	70655	80975
2	143.5	340.8	108206	119446	72404	79807
3	315.8	212.9	108584	119775	73449	79160
1	110.9	149.7
2	257.7	158.1
1	12.4	179.7	0	23868	8598	12067
2	139.7	208	0	24269	0	0
3	318.8	29.3	0	12014	12036	9549
4	425	388.5	16070	9068	1431	0
5	475.7	493.8	0	4754	0	4272
6	272.9	211.7	14111	23079	17835	0
7	206.7	300.6	0	0	0	11088
8	225	169.4	2576	8385	8485	10849
9	240.6	475.5	8938	6431	3829	7319
10	409	30.5	0	0	19665	20090
11	453.9	199.6	3630	8003	12640	0
12	80.6	494.9	21684	0	0	0
13	232.7	108	0	20464	0	9566
14	262.5	340	4305	0	15258	0
15	232.9	68.4	4325	18946	19736	0
16	122.8	204.6	17816	16711	5925	4534
17	20.2	66.5	19479	0	24809	0
18	253	46.1	14197	17225	0	13824
19	492.5	415.9	1699	0	0	0
20	77.3	11.2	0	11616	0	0
21	33	88.8	9631	0	0	17595
22	418.4	454.7	13467	15843	6581	9317
23	452.1	317.3	24332	0	0	0
24	150	497.8	0	0	11197	0
25	406.2	171.3	18252	0	0	9625
26	256	344.6	2566	0	0	5488
27	205.3	310.8	4969	24531	5722	0
28	281.6	201.7	14888	0	0	2073
29	48	31.3	10575	0	0	14598
30	184.4	164.6	3867	24812	0	16942
31	160.8	174.5	22207	18149	0	0
32	78.4	99.8	9661	0	0	0
33	265.8	389.9	13120	0	1935	20292
34	466.7	97.5	0	24439	0	0
35	315.9	330	0	0	13884	3555
36	78.8	359.6	0	0	16904	0
37	333.5	346.1	0	0	0	3016
38	434.6	411.1	14159	0	0	4176
39	137.9	118.5	11352	16510	0	14515
40	179.8	14.8	5480	22628	0	0
41	269.8	239.3	7579	0	0	4936
