# 10569a00-2a46-4ebf-8bb9-3c4cd369297c
4	5	3	46	17
0.0	63.3	70.3	15.9
36.1	0.0	27.1	15.7
96.8	64.5	0.0	73.2
58.7	32.1	56.3	0.0
1	20584	2	3
2	38366	2	4
3	22214	3	4
4	18174	1	2
5	28371	1	1
6	32274	2	2
7	26723	2	1
8	13814	3	2
9	34553	2	1
10	11849	3	2
11	36969	2	4
12	38082	2	3
13	18188	2	4
14	26623	3	4
15	39568	2	3
16	11541	2	3
17	16363	1	3
1	289.1	499.7	65932	68351	59598	59922
2	290.9	174.3	68726	70830	59544	61209
3	10.2	137.1	67365	69255	58579	60688
4	275.1	338.2	65783	69911	61524	60328
5	33.8	377.4	68533	69787	58894	59692
1	486.1	389.3
2	418.7	372.5
3	142.9	383.9
1	312.7	306.6	600	18188	14656	8839
2	460	401.1	24851	14540	0	0
3	176.5	453.4	0	6279	4958	19892
4	226.5	468.5	24269	7606	13642	0
5	117.2	179.9	3147	0	2986	0
6	54.4	71.7	20426	4966	16598	0
7	498.1	341.8	16062	0	0	0
8	99	51	22918	0	0	0
9	279	131.3	23871	959	0	0
10	191.4	453.7	0	23644	0	0
11	293.3	427.3	20148	11701	17229	0
12	344.3	352.1	0	0	0	12829
13	303.6	455.6	24844	0	10676	12887
14	185.7	365.5	23072	0	0	18887
15	82.7	449.3	0	24071	0	0
16	5.8	173.9	0	0	0	21267
17	447.8	317.8	17605	0	0	4630
18	193.3	213.1	0	0	24548	0
19	392.7	132.6	12409	0	0	6451
20	431.7	29	0	0	2820	22132
21	68.7	499.9	0	0	0	18704
22	441.4	304.5	0	2711	5119	0
23	15.9	14.1	3702	15503	667	0
24	454.2	403.5	0	0	19778	5095
25	265.9	462.6	0	18485	0	0
26	186.5	323.9	0	24461	2173	4110
27	59.7	310.9	0	0	0	14664
28	219.6	253.9	0	0	0	24741
29	383.3	323.4	21491	0	3846	17138
30	98.2	296.9	0	17211	0	5765
31	31.6	4	4175	20802	5490	4325
32	393.4	329	4477	3015	22036	0
33	496.4	260.3	17748	24754	0	0
34	276.5	248.4	4816	5040	0	0
35	61.6	174.4	5487	19207	16682	14783
36	476.3	398	0	0	17691	6830
37	411.5	239	14791	0	0	0
38	318.3	212.1	0	0	8948	15226
39	389.5	392.7	3660	7094	23054	11483
40	52.9	435.4	0	0	20413	7020
41	233.6	101.9	0	0	1574	0
42	100.5	40.4	0	17782	0	2544
43	203.7	101.1	0	0	13876	0
44	127.4	328.5	0	0	8982	7987
45	262.2	92.4	6746	22407	8026	0
46	487.4	99	0	24162	0	0
