# 30af91d2-ebab-4bd0-9bc2-7886028d47dd
5	3	3	32	12
0.0	70.6	27.4	19.7	79.1
94.4	0.0	23.2	49.1	69.0
85.2	49.8	0.0	85.8	27.5
96.3	12.3	67.4	0.0	66.6
64.2	34.7	46.3	91.5	0.0
1	25635	2	1
2	34669	3	1
3	15849	3	5
4	31868	2	2
5	14945	3	2
6	27534	3	5
7	29628	2	4
8	24911	3	2
9	33310	3	4
10	37734	1	4
11	20838	3	3
12	25155	1	5
1	72.2	469	36598	76416	60849	52684	74169
2	178.9	205.3	36281	78982	59460	52994	73885
3	275.7	193.3	33145	77839	58654	53398	72689
1	85.5	274.2
2	244.5	301.1
3	404.9	101.3
1	287.7	343.5	14472	0	0	931	0
2	199.2	239.4	2643	15288	6646	3011	23390
3	70.5	342.8	0	21480	0	0	17902
4	105.8	188.7	0	18123	2771	0	24763
5	284	57.1	0	0	3287	15686	0
6	229	116.1	0	0	0	6821	0
7	333.7	135.4	0	0	13111	0	5687
8	474.1	48.7	9170	8074	17451	0	0
9	37.4	369	0	6746	0	0	0
10	97.3	253.2	0	0	0	522	9765
11	261	362.4	899	0	0	0	0
12	94.4	178.2	0	22492	17712	17971	1738
13	46.1	388.1	0	8809	0	0	0
14	35.5	203.8	0	0	9554	0	5010
15	123.5	2.3	0	0	9656	8430	0
16	307.9	230.7	0	14985	0	0	11581
17	288.3	493.3	0	20645	3542	0	0
18	136.9	408.4	4015	13203	17950	0	20466
19	389.9	246.3	0	0	0	15727	0
20	46.6	395.8	0	0	12336	9564	0
21	409.2	405.8	0	15511	7063	0	15508
22	360.5	321.7	24621	0	6322	0	22236
23	230.9	424.6	0	0	0	0	7123
24	482.3	226.1	0	13246	0	24234	0
25	296	215	0	3615	0	5685	0
26	194.4	376.9	4729	0	10693	17842	0
27	282.9	238.1	916	9952	8615	0	0
28	269.4	9.9	0	0	0	0	22528
29	399.1	354.7	0	16978	23831	11795	8555
30	455.7	166.4	9100	0	0	15818	0
31	46.5	328.9	18379	0	0	0	0
32	210.5	359.2	6507	15340	0	0	16657
