# e8f62bb2-09ea-4980-9d32-1b8bc218eb41
7	4	2	47	12
0.0	25.7	19.2	95.4	57.7	26.3	41.0
11.5	0.0	21.9	41.6	16.3	74.1	92.4
50.6	72.4	0.0	99.2	89.4	52.5	96.2
91.0	76.6	66.1	0.0	10.3	94.7	88.4
44.4	93.3	43.8	27.5	0.0	95.2	94.0
75.6	19.7	17.3	69.7	32.6	0.0	47.4
71.2	99.2	52.2	28.3	19.4	38.4	0.0
1	36580	2	4
2	25372	2	7
3	21342	2	6
4	23313	1	7
5	33837	2	7
6	38031	1	2
7	27157	1	4
8	26676	1	2
9	39715	2	7
10	21967	1	5
11	37878	2	4
12	22421	1	3
1	255.4	464.9	87046	87705	80421	81419	66787	71316	55123
2	392.2	19.2	84559	87871	82042	80740	67929	69903	57484
3	384.7	153.1	83443	87286	78241	83347	65135	71801	55734
4	95.6	459.1	83862	89650	78254	80143	66261	71208	57305
1	488	87.9
2	160.9	433.4
1	356.3	75.1	11166	12460	0	20380	22835	14500	0
2	385.9	462.1	2129	3350	14383	0	0	21150	0
3	222.7	76	0	0	0	0	9252	0	0
4	0.9	411.5	2636	0	0	6609	0	20720	9617
5	334.2	7.1	4101	0	0	24299	16606	0	0
6	482.7	205.7	0	14184	20335	16523	11614	0	0
7	339.6	290.3	10589	24329	17630	0	0	0	0
8	83.8	117.5	0	0	0	0	1969	0	0
9	397.8	49.6	0	0	0	9115	2556	9454	0
10	96.1	108.8	13586	12815	0	0	16239	0	0
11	224.8	78.7	5192	0	0	8301	11328	0	0
12	32	387.8	23711	23316	12616	0	0	0	0
13	342.7	207.7	0	6648	0	0	0	0	0
14	269.3	326.9	5487	0	24325	15845	2521	0	0
15	77.7	337.2	22631	18470	0	0	0	11011	17377
16	2.6	351.9	0	0	0	11012	0	5428	24652
17	244.2	188.6	7729	23856	14603	0	4386	2888	13847
18	281.9	345.7	23485	4683	0	6354	6829	18199	0
19	321	141.2	0	0	0	0	0	17877	0
20	245	25.2	22828	0	12370	20427	0	0	0
21	244	107.9	0	7732	0	0	12475	0	0
22	447.5	272.6	22591	5284	0	13498	0	16135	24634
23	341.5	472.5	0	0	0	7441	17888	0	0
24	112.5	32.4	0	0	0	0	10299	10001	0
25	38.1	62.7	13848	5768	0	11464	0	0	2925
26	273.7	378.2	3396	0	18344	0	10457	0	0
27	350.3	255.4	0	0	0	16940	0	0	0
28	335.6	420.1	3452	18870	0	0	8044	0	0
29	232.8	174.4	16046	21574	18838	9819	17960	20441	963
30	252.3	195.5	0	21018	10964	0	0	18708	22615
31	156.4	231.1	0	20627	0	18764	6255	3854	5902
32	3.5	405.8	0	0	19275	4651	0	17759	0
33	26.7	231.8	12956	832	0	19540	0	0	23189
34	220	272.1	0	17622	22602	5546	0	0	10440
35	41.7	351	24837	0	10349	0	0	24848	0
36	427.8	159.6	17425	0	0	3355	16362	2337	15121
37	32.9	347.5	20989	1144	24016	5975	0	6483	9438
38	390.8	411.4	0	0	9244	3473	0	0	0
39	145	155.9	0	17800	1144	8860	0	0	0
40	55.3	491.6	1154	0	0	19522	0	0	0
41	465.8	397.6	12657	7071	0	8156	16607	0	6477
42	25.8	337.3	0	22738	9332	0	21629	0	8022
43	416.3	212.8	0	544	0	0	0	0	0
44	74.1	489.5	14824	7241	24520	0	0	0	0
45	197.6	404.8	9852	6120	1917	0	0	15685	0
46	354.4	465.5	0	511	22069	20596	0	0	14947
47	5.2	54.2	0	16682	0	0	10080	15016	0
