# Instance LARGE - Test de performance
2 2 3 20 6
0.0 15.0
20.0 0.0
1 8000 1 1
2 7000 1 2
3 7500 2 1
4 6500 2 2
5 6000 3 1
6 5500 3 2
1 40.0 40.0 50000 40000
2 60.0 60.0 45000 35000
1 30.0 35.0
2 50.0 45.0
3 70.0 55.0
1 25.0 30.0 1200 1500
2 35.0 25.0 0 1800
3 45.0 40.0 900 0
4 55.0 35.0 600 1200
5 65.0 45.0 0 800
6 75.0 55.0 1100 700
7 85.0 65.0 800 0
8 20.0 50.0 0 1300
9 40.0 60.0 700 900
10 60.0 20.0 400 600
11 80.0 30.0 0 1100
12 30.0 70.0 950 0
13 50.0 10.0 0 750
14 70.0 80.0 850 550
15 90.0 40.0 300 950
16 10.0 20.0 0 680
17 25.0 85.0 720 0
18 45.0 15.0 0 820
19 65.0 75.0 630 490
20 85.0 5.0 0 920
