# 193ad7c5-1e41-415f-adac-54248e3f28ff
10	10	8	124	50
0.0	155.0	17.1	38.7	125.5	117.8	125.4	145.4	113.2	54.0
112.3	0.0	82.0	144.0	176.9	97.7	50.8	28.2	92.4	79.0
58.9	62.7	0.0	168.0	152.3	81.5	150.0	159.4	59.9	106.6
33.7	54.3	33.1	0.0	196.0	32.9	31.0	97.6	193.1	83.5
56.2	124.5	20.7	102.5	0.0	122.3	141.1	111.2	172.0	26.8
174.9	19.2	32.1	76.1	199.9	0.0	170.1	34.6	170.0	147.0
95.8	152.0	192.5	65.6	161.6	24.7	0.0	178.5	94.0	160.7
127.0	194.1	180.5	31.3	84.1	169.5	69.8	0.0	182.5	120.2
70.7	62.1	184.2	12.4	23.3	138.7	30.4	50.4	0.0	151.2
97.0	25.5	40.7	51.8	124.4	124.9	81.2	184.8	94.4	0.0
1	76851	2	8
2	29230	6	3
3	45823	4	5
4	52449	5	2
5	49589	2	5
6	77010	5	2
7	62594	8	4
8	41084	4	7
9	63651	7	3
10	48305	3	10
11	18932	2	2
12	47709	5	5
13	63280	8	3
14	59346	7	1
15	34588	2	6
16	68595	6	3
17	42401	6	6
18	48101	1	2
19	26998	8	2
20	66732	2	6
21	13157	8	6
22	10174	5	2
23	47947	3	4
24	32363	6	2
25	63025	8	2
26	36483	7	6
27	19171	4	6
28	15148	3	2
29	29266	3	6
30	25975	1	8
31	75046	5	1
32	11809	6	8
33	16555	2	4
34	46063	1	8
35	66114	8	1
36	21823	7	6
37	19933	1	3
38	36188	2	10
39	56237	1	1
40	75845	1	6
41	19827	3	3
42	61890	4	3
43	44767	1	3
44	22052	5	1
45	19762	4	4
46	65500	5	4
47	21584	1	4
48	54779	3	9
49	50971	5	5
50	70425	3	2
1	241.3	636.6	261207	220980	201519	204060	204903	232865	268797	272838	230239	209777
2	531.7	801.5	260584	220796	199027	203892	207815	232225	268673	270922	230943	209482
3	550.8	1361.1	258589	220772	199524	203714	207961	233117	266192	271660	230789	210216
4	1097.1	534.4	259889	221407	200527	204610	206706	232302	266067	272208	228827	207009
5	987.8	285.9	258888	220699	199956	204151	207961	235195	265809	272824	229575	207798
6	39	666.5	262047	218789	201387	205146	204349	233632	265931	270480	230738	208566
7	219.5	681.7	260371	221366	201695	206362	207196	234072	268189	270439	231677	210571
8	527.1	1303.9	260462	221522	201509	206532	204903	231870	266219	271477	231840	208902
9	1030.2	625.2	261584	218939	202326	203733	205036	233769	266779	271209	231060	209080
10	966.1	1490.7	261878	218205	199657	203521	204327	233598	268973	270108	229761	208533
1	156.3	1473.6
2	1423.7	787.7
3	344.1	96.7
4	619	736.7
5	744.9	385.6
6	665.2	1436.4
7	1451.7	906.6
8	1088.9	568.5
1	1494.7	1160	40091	40330	2578	0	948	60045	0	60206	0	15863
2	186	315	27806	54636	0	54293	0	11762	52705	0	68045	0
3	964.9	621.2	57570	0	58690	16304	0	55802	1701	18189	59542	9418
4	1478.2	858.8	0	0	0	33819	0	48458	66537	74481	0	41415
5	1423.3	929.3	7343	0	3930	0	0	0	0	32645	73326	0
6	630.7	806.7	0	0	69886	53622	4359	56690	28291	31467	0	35502
7	756.7	1464.4	25370	0	0	13314	48644	23625	54179	26787	21694	0
8	466.8	1099.7	28735	0	24858	25442	0	61119	54034	0	6190	41689
9	1455.6	1329	57143	40316	15351	32440	0	17395	0	18014	72381	8539
10	603.9	213.9	64183	0	16505	0	56714	0	0	2378	69354	20842
11	380.5	346.2	23568	0	0	60915	47384	0	75000	11039	35376	0
