# c09a55a8-e54d-4f2f-9da0-2645f47a1af4
11	6	7	196	40
0.0	112.3	13.0	104.3	164.2	17.6	157.6	70.9	156.4	110.6	192.6
110.1	0.0	170.7	163.9	15.8	128.4	42.6	13.0	181.5	129.5	43.1
97.3	106.8	0.0	154.5	67.2	162.7	65.6	54.9	24.6	35.6	36.8
83.5	64.9	179.5	0.0	195.1	16.7	50.1	78.6	32.2	122.3	64.1
17.8	39.4	103.3	194.5	0.0	21.4	84.8	36.9	182.6	37.8	154.3
19.6	96.0	134.1	84.1	95.0	0.0	156.8	60.3	49.1	191.7	65.3
79.8	11.7	10.8	172.0	169.1	159.1	0.0	119.7	185.1	41.9	41.3
22.6	167.4	138.2	172.6	64.6	181.8	26.1	0.0	144.2	76.4	27.6
116.5	107.2	31.6	109.1	20.1	132.7	174.1	55.9	0.0	199.3	26.3
92.2	196.5	44.0	71.6	198.0	40.0	69.1	61.2	177.8	0.0	88.5
173.1	139.5	61.6	131.1	156.0	170.0	130.0	140.8	52.9	199.2	0.0
1	34579	5	4
2	68806	7	9
3	25452	1	7
4	31591	6	4
5	78882	5	9
6	21364	5	3
7	26579	2	7
8	78942	2	8
9	28136	5	2
10	61755	3	2
11	72985	4	1
12	33282	7	3
13	70682	2	11
14	42034	5	11
15	26326	2	10
16	46491	1	5
17	52739	5	5
18	39709	7	10
19	62889	5	8
20	12100	6	11
21	46361	4	11
22	75262	5	5
23	30315	7	1
24	14773	6	7
25	12123	5	1
26	29737	3	9
27	54127	7	4
28	12258	5	10
29	22740	3	7
30	43535	5	3
31	23031	7	3
32	60357	5	9
33	62414	3	9
34	69360	4	11
35	61137	6	3
36	35008	3	3
37	54097	1	6
38	39978	1	6
39	13345	4	4
40	72087	3	2
1	1214.7	1120.9	508402	625428	518625	521593	672893	605745	580974	599082	543491	503926	673797
2	901.2	620.8	508082	624113	518225	524664	672903	604059	578638	599853	543638	501290	673397
3	1015.1	1235.1	509457	624841	517905	525161	672928	605589	580447	601315	545238	502710	676073
4	1054	941.8	509285	624477	516967	521248	673072	606395	578460	600482	542941	502844	674108
5	326.3	281.4	507911	624563	518203	524763	674456	604359	579281	600741	542415	502836	674448
6	528.1	774.8	510347	622532	515907	524590	673005	603880	579811	602190	544325	502876	674208
1	26.1	130.3
2	884.8	1331.8
3	912.4	1374.8
4	21	1080.7
5	1494.4	1388.7
6	1430.3	262
7	1132.9	1216.8
1	750.4	953.9	0	0	0	12019	0	0	0	0	0	0	69023
2	737.3	884.6	0	49330	0	0	0	0	0	0	65485	63960	70630
3	1473.4	128.9	43948	23083	0	0	59513	38251	62699	0	962	0	61021
4	532.9	1062.2	59311	18518	0	58581	0	27152	0	0	0	9799	0
5	1439.2	568.3	0	73228	29301	3591	0	27071	0	64764	66925	71400	71247
6	531.3	1059.2	0	36646	11001	0	0	43009	0	0	16602	38447	0
7	138.5	1295	13338	7377	0	0	0	0	0	72618	60840	0	60260
8	410.5	1442.6	52843	15637	22910	17383	18069	13789	0	51939	14336	0	26916
9	1441.7	1066.3	23836	72685	41183	0	42319	0	46402	0	0	0	29188
10	481	428.4	25408	0	50330	73424	0	15602	0	27504	0	0	0
11	407.8	1335.8	0	59394	0	0	53235	0	34645	56499	0	3406	52707
12	514.5	295.5	0	67405	0	6355	44372	50993	16679	54572	0	0	0
13	1141.4	904.3	0	53372	46049	0	0	0	0	0	26965	0	0
14	404.1	1126.2	43499	56325	42168	14318	0	31651	52611	0	0	0	0
15	72.2	796.5	4828	15138	25256	21613	42038	73011	62099	15860	0	0	0
