# cf931560-2650-4d1c-993b-adde5b20012c
8	8	8	189	49
0.0	123.7	198.5	142.2	36.3	16.6	31.6	19.9
151.0	0.0	55.1	88.1	193.2	159.0	156.2	169.8
137.0	183.7	0.0	123.4	32.0	82.3	60.0	76.3
104.6	147.9	153.1	0.0	76.4	139.0	83.8	66.3
132.5	61.5	174.5	114.6	0.0	26.7	110.2	89.0
191.3	73.7	34.7	112.1	47.5	0.0	183.9	157.3
121.3	196.4	80.0	17.1	77.1	142.1	0.0	28.6
31.2	35.8	102.0	128.2	59.0	39.2	95.3	0.0
1	29772	1	5
2	10171	5	8
3	71913	3	7
4	73593	6	3
5	77262	5	7
6	60820	4	1
7	20633	5	8
8	10224	4	3
9	23195	6	1
10	20604	4	7
11	36154	4	2
12	57713	4	7
13	37159	1	8
14	26991	2	8
15	77675	4	5
16	38439	3	5
17	13081	7	6
18	36398	2	7
19	21970	8	1
20	52291	4	3
21	49839	4	1
22	41608	6	1
23	17556	2	7
24	24514	7	4
25	15875	3	8
26	54703	6	2
27	66243	1	8
28	47095	7	3
29	63924	6	3
30	13566	6	6
31	59008	1	4
32	11915	5	2
33	49086	2	5
34	15685	7	6
35	77842	2	5
36	29231	5	4
37	38705	5	6
38	57617	5	6
39	46728	2	2
40	15098	2	5
41	68657	1	3
42	42068	5	2
43	56136	2	8
44	31081	3	5
45	41637	2	4
46	62241	3	6
47	49894	3	1
48	39234	6	5
49	11838	7	2
1	808.6	754.7	454944	441569	442285	423859	408107	483311	435972	391851
2	979.4	102.1	456603	440906	442614	426492	406509	484846	438118	392885
3	458	869.3	455470	442770	443682	424444	406550	482835	438293	394869
4	1448.7	453.3	455892	443329	443106	424326	406865	483443	437069	393062
5	405.8	1179.4	456496	440500	443394	425521	405662	483829	435029	393391
6	181	1125.4	456410	442699	440942	427658	406256	482350	436960	394484
7	156.9	101	456945	442256	440656	426993	407597	483448	437780	393883
8	609.7	106.1	455817	441845	443341	426420	407729	485724	436820	393471
1	193.1	620.2
2	1097.1	1036.5
3	1390.5	1118.8
4	1322.1	857.9
5	1060.3	1425.4
6	796.3	1126.2
7	308.6	513.9
8	1325	590.2
1	991.2	983.4	33443	0	0	61328	31545	0	18875	7062
2	1361	276.2	0	74712	17948	52209	3684	0	72157	15542
3	1080.2	879.9	0	74947	25528	12928	51046	0	6008	1661
4	963.1	583.3	0	0	0	0	0	0	33989	0
5	638.3	424.2	2947	0	23483	35819	0	0	14840	70105
6	106.5	1018.6	0	0	0	0	20610	0	0	23336
7	659.4	1287.6	64882	0	0	34014	0	43931	0	0
8	148.7	659.4	0	0	64799	32718	0	0	34100	53638
9	1402.2	1106.6	0	62414	0	0	0	40682	51447	0
10	148.8	675.5	49683	38835	18763	0	10330	0	38629	0
11	1180	1307.2	0	47522	0	0	11910	0	0	32440
12	967.4	9.7	10400	0	0	9729	57086	23691	16920	0
13	61.4	337.8	0	28300	0	0	0	67912	58703	11316
14	699.1	1469.7	0	18827	0	0	21221	3689	0	0
15	1029.9	744.8	54204	63321	0	0	70337	0	0	0
16	913.6	650.5	0	4343	15853	0	0	2357	7995	0
17	680.2	1187.1	64409	0	0	52216	35327	0	1598	0
18	1285	816.5	0	22925	35164	62930	0	56670	0	19570
19	471.5	427.4	20034	33899	59400	0	0	67510	0	74803
20	135.9	913.5	29819	0	0	65426	0	0	0	44665
21	358.8	31.6	42788	50684	13261	0	22695	0	27196	0
22	652	853.9	0	54479	20067	0	7341	39630	0	44124
23	1392.3	981.2	52347	6995	0	74864	0	0	0	0
24	841.1	936.7	0	31966	33959	0	0	5930	0	0
25	79.1	182.7	0	0	49558	32006	34792	0	53057	0
26	361.8	1391.6	0	54731	0	65113	23599	50350	3497	0
27	679.9	170.1	6174	17238	0	0	5709	0	39573	60971
28	1056.3	1037.7	0	0	0	0	0	50683	790	0
29	547.8	325.2	51458	29307	0	4769	0	0	0	41923
30	1326.6	156.2	0	65809	0	30778	0	6239	33897	0
31	92	587.8	0	0	10420	0	0	0	58042	57300
32	1327.2	563.3	0	0	53267	20284	74480	8762	0	0
33	745.2	1203.6	0	0	5917	0	0	30383	0	0
34	1199.6	1443.7	54548	32799	0	0	0	0	0	25995
35	1121.5	337.9	57861	3506	0	28530	0	0	0	58306
36	353.2	1076.1	0	55323	0	0	36351	57979	0	0
37	1276.4	1474.2	0	0	19435	17375	0	74918	0	56913
38	1450.4	1379.9	0	0	0	0	0	0	9999	0
39	780.8	531.7	34713	20773	0	32908	0	41066	18130	0
40	1484.8	1381.4	0	0	68415	27588	0	13067	25937	0
41	1329.5	1395.5	56415	27575	7672	28099	34837	0	0	39360
42	140.2	486.2	7486	36228	53659	20496	0	0	65667	0
43	729.3	30.3	0	0	0	47458	70349	0	72250	0
44	1325.8	182.7	0	0	0	70500	0	0	47902	0
45	206.3	1385.4	0	0	0	0	67490	69108	0	0
46	94.5	1053.9	0	0	0	0	0	0	50322	0
47	1188.9	955.5	0	56580	58819	0	0	0	0	37364
48	395.2	795.2	28949	0	72669	0	26526	61403	0	32420
49	1456.6	616.3	0	12108	0	53868	0	68880	31251	0
50	1283.8	503	0	37766	0	19271	38154	14404	33251	44961
51	481.9	422.3	63023	0	47799	0	57422	0	9451	35785
52	381.7	1262	0	0	0	0	541	0	22963	41018
53	1261.3	192	53488	18219	0	60072	63082	54810	0	0
54	1123	800.6	11598	11591	0	42012	39955	34100	44074	0
55	1388.4	1043.5	0	2131	50899	10436	56126	47693	0	0
56	248.2	760.5	23359	0	0	62004	15654	44010	12616	0
57	185.1	1138.3	40847	0	0	0	26127	52942	35598	0
58	414.2	663	0	0	0	0	9947	0	0	52906
59	141.6	1383.4	0	53554	0	16539	0	32244	0	0
60	311	406.3	29293	0	53892	27329	0	8764	0	0
61	1409.7	825	0	0	0	44052	0	0	0	48565
62	1289.6	973.2	41678	35959	0	0	0	0	0	0
63	232.2	683.2	0	60115	50248	60001	0	32560	0	50514
64	817.7	799.6	2999	0	61285	5186	0	3212	0	0
65	965	801.1	58738	58050	0	0	0	0	0	0
66	894.1	260.3	0	9332	61736	13069	0	0	20920	25660
67	1059.8	215.3	16156	62472	0	0	3724	0	0	0
68	257.2	941.6	0	25080	33401	0	14297	7862	20802	0
69	1152.2	1434.4	0	40612	60953	51533	0	40686	73337	66493
70	250.9	363	0	70725	0	0	71784	50146	10145	58973
71	985.4	421	2582	14707	5861	0	0	0	0	9719
72	552	70.7	0	921	12264	70859	0	57219	0	0
73	1222.2	881.8	43769	0	0	0	0	15943	68448	48433
74	231.4	894.5	37930	0	0	0	73647	15915	24997	0
75	473.2	791.4	15821	44749	0	0	65187	55707	0	0
76	622.9	777.2	0	0	61117	21880	26244	0	0	46906
77	838.4	623.8	18818	0	0	19944	0	0	0	0
78	574.7	899.6	0	0	0	0	24802	0	71906	38330
79	1097.7	489.4	0	47663	33865	35620	15610	0	10302	24202
80	13	1250.3	0	14592	0	64184	73812	0	0	0
81	14.5	330.8	41503	69025	11207	0	0	0	0	0
82	919.4	521.4	0	0	12380	708	0	46385	0	0
83	1389.9	442.3	61785	4944	0	0	6570	11014	60241	52730
84	623.9	67.1	0	68287	0	7567	9040	32812	0	0
85	1068	974.5	37621	24753	64193	0	63990	0	0	0
86	37.8	125.3	0	33999	21885	44919	0	40097	0	0
87	529.6	282.8	0	0	27010	0	35528	12709	60861	58868
88	479.2	1276.2	0	0	0	0	19262	0	17910	39438
89	336.2	1213.7	49913	0	0	48637	0	67267	2133	0
