# af3cc9c5-832c-40e5-ab89-4176927acd9a
12	6	5	133	50
0.0	139.9	52.0	41.7	151.5	64.2	99.0	103.3	23.2	155.3	56.9	34.6
46.5	0.0	133.2	47.8	90.5	114.7	105.7	27.1	144.7	142.0	41.6	142.2
63.4	114.3	0.0	128.0	30.9	191.7	149.6	43.3	108.3	152.9	74.2	63.5
83.3	53.2	53.2	0.0	86.1	73.3	34.0	78.1	66.3	181.6	93.2	40.6
171.7	163.6	56.7	121.2	0.0	89.2	68.6	27.0	17.2	82.7	130.3	48.6
62.3	128.4	60.6	69.7	70.2	0.0	56.1	95.4	67.5	46.8	48.1	59.1
168.6	50.2	130.9	79.7	113.2	178.6	0.0	150.3	73.6	37.7	143.1	165.9
73.3	63.0	189.8	182.0	139.5	177.3	142.9	0.0	147.7	71.2	121.3	149.9
197.0	181.5	91.1	162.9	29.8	68.7	158.2	137.5	0.0	114.5	34.5	107.9
100.3	173.1	75.3	98.5	124.7	165.3	117.9	44.5	42.3	0.0	178.9	155.7
113.3	72.0	198.0	92.9	145.3	131.9	130.7	28.4	126.7	107.9	0.0	82.0
108.3	134.4	87.7	45.2	112.1	14.8	27.2	20.8	25.9	12.7	90.9	0.0
1	68857	5	5
2	42360	5	12
3	34568	3	10
4	30836	3	10
5	52152	5	5
6	32011	4	9
7	39669	3	10
8	29512	3	8
9	17871	5	3
10	14946	2	1
11	55146	2	11
12	27665	1	1
13	18723	4	12
14	63182	5	5
15	76586	1	7
16	73705	4	2
17	62562	1	12
18	64809	5	6
19	64706	5	4
20	28249	4	8
21	20691	4	7
22	48555	3	5
23	25911	2	12
24	10083	4	1
25	76945	4	1
26	74764	3	4
27	79125	5	2
28	77417	2	5
29	78490	1	5
30	33367	4	1
31	39867	1	12
32	64602	3	1
33	27514	4	7
34	51099	4	2
35	23319	3	11
36	18840	5	11
37	18166	5	10
38	37469	2	7
39	70643	3	11
40	30239	1	8
41	70804	4	4
42	68300	4	7
43	51776	2	7
44	38126	1	3
45	34829	5	12
46	73102	3	4
47	10742	3	7
48	77835	5	9
49	12728	2	9
50	18090	2	7
1	764.7	1010.1	445425	447846	383565	401556	427742	436633	439444	482906	364701	473443	373977	313123
2	1361.8	997	442568	446278	385047	401018	430805	437445	436492	481736	365033	473662	374706	313462
3	265.6	1064.9	442476	444296	381685	400184	428918	435427	439675	484300	366483	474426	375558	311984
4	144.2	1013.4	445440	447979	384988	402452	430207	436573	438000	481922	363980	471417	374141	313103
5	428.8	1068.7	443779	446488	385000	399899	427710	436581	438120	484069	363978	473246	373573	313177
6	934.6	458.6	443485	446095	384943	403263	427705	436723	438057	482602	366459	472980	376312	314357
1	763.7	1430
2	647.1	990.4
3	1498	1284.5
4	654.3	501.5
5	539.7	498
1	659.9	1269.7	1357	72283	0	0	39914	0	16603	53379	42677	49604	0	8488
2	1173.7	1304.6	0	0	0	36865	0	40071	0	52208	0	0	30511	21369
3	872	125.5	18684	73840	0	18533	0	0	0	0	21827	29994	23708	27531
4	598	890.7	49782	0	8626	43054	13450	12366	0	0	0	0	0	34845
5	604.6	509.5	1365	0	0	0	0	0	57404	0	66353	6369	0	0
6	334.5	1093.1	0	48128	1216	0	0	68681	66504	9485	0	0	43950	0
7	992.7	434.9	1313	0	28597	30941	0	18052	0	60673	0	65432	31370	25346
8	733.4	1354	44983	68892	0	52968	60844	4914	0	40924	0	0	0	0
9	414.2	264.5	48675	46827	39034	0	67790	0	0	62945	60191	30537	47370	0
10	945.7	1461.4	15976	0	5643	0	0	0	25921	50954	52843	18759	58070	0
11	192	742.9	10778	0	0	0	8490	0	16644	0	0	0	44367	50772
12	1085.6	409.7	33408	0	36024	0	0	0	54518	35113	0	0	0	0
13	1009.4	487.3	67102	0	44018	51539	38248	0	23106	45153	51470	0	21171	0
14	535.8	267.9	0	10584	43170	21114	0	0	0	0	0	0	0	73836
15	13.1	1093.4	0	0	12589	1406	0	0	0	61320	0	0	0	0
16	602.5	782.2	0	0	9530	0	33194	2254	0	0	0	71565	31402	24028
17	204.9	514.2	31699	45818	0	0	68779	0	52360	44601	42945	14968	0	11559
18	107.7	617.1	0	0	0	2422	12485	0	22950	0	0	42929	0	0
