# 1a313177-8c73-4a9a-b862-4ecfc8b7a5e1
9	7	8	174	45
0.0	133.0	147.9	167.1	197.0	118.8	11.7	28.8	160.1
144.9	0.0	13.6	105.4	151.8	82.3	23.6	11.8	119.7
198.6	158.2	0.0	93.1	142.2	132.2	95.3	134.8	131.8
180.2	111.5	48.1	0.0	78.7	116.9	43.4	105.5	164.6
35.2	62.6	20.9	50.7	0.0	95.3	77.1	25.6	120.8
125.3	142.9	103.5	39.5	78.5	0.0	134.2	116.6	77.8
132.2	151.4	18.9	60.9	185.8	92.0	0.0	126.3	120.9
119.6	137.3	83.5	140.3	45.5	164.8	114.2	0.0	136.4
192.4	32.2	12.2	104.1	171.7	92.5	111.5	17.9	0.0
1	48008	4	5
2	78324	3	7
3	19683	4	7
4	63611	2	7
5	45336	3	6
6	41644	7	9
7	57005	2	9
8	50459	2	5
9	51631	2	2
10	61523	4	6
11	34857	5	5
12	78284	5	4
13	71225	8	6
14	50752	3	9
15	70098	6	9
16	51118	3	8
17	51628	8	8
18	66954	8	9
19	29471	5	6
20	43232	6	7
21	79639	2	4
22	22736	2	1
23	35534	7	8
24	70447	2	4
25	55655	4	2
26	65200	8	9
27	78355	8	5
28	21766	4	6
29	27499	7	8
30	79020	1	6
31	45441	7	7
32	44969	5	5
33	17030	5	2
34	33941	5	9
35	41517	4	5
36	55140	6	5
37	75986	6	2
38	22152	5	9
39	17717	4	9
40	29472	3	4
41	47877	7	9
42	33013	2	7
43	32927	8	6
44	22077	1	4
45	49038	5	3
1	357.5	736.4	500639	447956	534885	477228	471952	429579	449348	420905	524862
2	898.3	1229.5	498425	448670	533043	475665	472671	428351	449395	418340	526259
3	688.7	980.7	498434	447236	531864	474863	470639	429134	447072	418884	523490
4	746.2	42.9	499620	447646	532525	476743	471695	427765	447994	420408	523931
5	1247.1	1169	500864	445816	535398	475815	470675	427780	449568	417819	525112
6	504.6	1333	498744	444942	532684	476073	471404	427336	447478	417637	526019
7	886.4	412.9	497307	447371	535495	476881	472596	428074	448713	420196	524864
1	992.6	916.3
2	1162.6	292.4
3	1151.8	435.7
4	1334.1	581
5	1002.7	1136
6	571.8	921
7	852.1	1432.8
8	1185.3	1352.7
1	1129.9	1343.6	0	12668	58928	0	0	0	0	42556	37629
2	683.3	284.3	41646	50216	0	50512	58131	8502	66653	15738	59230
3	165.6	1031.8	7958	0	0	0	0	0	2318	0	23175
4	125.4	1203.9	69035	52309	20667	0	0	40681	8108	5653	30095
5	882.5	758.9	0	0	0	0	0	9855	45210	14102	46561
6	1292.3	1088.3	0	0	46428	0	0	0	66906	0	32172
7	1342.1	169.8	2195	67659	68915	0	8621	0	42145	70703	0
8	960.5	636.3	37962	37871	25813	48482	0	74092	0	0	0
9	244.5	1385.2	0	0	29794	0	60308	0	10585	0	57980
10	72.1	403.8	40189	0	0	0	0	32360	0	65213	0
11	1020.9	73.8	0	0	19974	49515	0	0	0	45871	0
12	703.8	1031.6	20569	12089	0	6075	0	0	66054	0	0
13	295.4	1022.8	0	10732	0	69870	24426	3305	0	0	0
14	63.6	918.5	4899	0	0	0	0	32071	0	0	0
15	77.2	84	29100	46844	0	69250	27500	0	48891	0	7468
16	61.6	1254	0	6163	71626	0	0	45031	64594	0	0
17	1091.8	206.6	0	13093	73818	40436	31927	0	0	0	63480
18	441.2	749.5	64395	51237	0	49015	51901	0	0	0	0
19	1483.4	1358.1	0	44691	9846	0	0	22750	10215	43949	67324
20	501.8	302.4	72872	529	49319	0	44187	57483	17900	45544	9601
21	1179	1309.4	69611	74055	0	63103	24051	0	0	31147	0
22	929.5	1027.9	571	14271	50053	0	0	44862	0	0	0
23	1070.8	286.8	12478	0	4109	0	0	0	24610	0	41934
24	742.2	1107.3	52116	0	52956	30583	19770	1963	0	0	0
25	101.8	66.7	8016	37411	50907	74067	0	36342	55880	38801	16023
26	1242.9	1443	39488	0	0	74933	66581	11970	67625	0	0
27	1263.2	505.8	0	42181	29044	73824	39301	0	0	0	0
28	1372.8	984.7	74936	12925	0	0	74869	72873	0	0	21707
29	542.3	263.9	0	0	10435	16228	5750	0	71758	13414	0
30	659.4	1145.9	0	0	33330	0	44806	0	0	0	7521
31	533.2	1319.3	0	0	56250	0	0	26156	0	0	13636
32	255.4	1465.3	0	0	0	28106	0	0	0	0	44270
33	66.8	24.7	0	5575	0	0	34897	0	0	11025	11806
34	369.6	1021.2	74361	0	37975	53540	51132	8418	0	1828	19396
35	1108.6	268.3	20391	6089	27969	22728	7265	0	59560	0	0
36	1394.3	928.6	53543	66457	33834	15755	49065	0	46454	0	28215
37	1063.2	445.1	67166	0	0	0	0	68482	0	0	0
38	1429.3	252	0	52222	7350	69611	0	27191	11280	0	0
39	1292.2	1110.7	0	67326	36704	0	48790	13383	0	58649	0
40	213.4	734.8	16059	0	72169	0	38688	20886	0	0	15853
41	995.3	454.7	0	0	22154	0	0	57189	48689	0	11547
42	1179.8	683.2	0	34150	1689	52519	0	57463	0	73635	9484
43	698.9	453.3	52000	0	21544	4754	0	0	0	0	0
44	413.9	1384.6	6468	63819	8150	0	0	0	19736	0	0
45	372.3	937.4	41396	63029	0	0	0	0	0	0	11400
46	321.9	547.5	7377	61765	0	0	54085	0	28046	54733	72384
47	423.2	1461.3	17523	11376	15708	0	0	0	2817	0	48725
48	548	179.3	0	5921	43185	0	0	20825	50313	57879	30694
49	313.4	994.8	72759	0	0	17472	61071	23733	0	50777	0
50	1487.4	317.9	32515	0	70993	0	0	26807	0	58610	52179
51	680.4	1022.6	0	3433	60800	0	36718	48876	36866	0	28000
52	66.7	1144.4	31037	45535	63572	64520	20449	0	0	0	71447
53	925.7	931.6	0	0	0	0	59877	49578	882	40497	66405
54	381.6	490	66813	0	0	1837	10721	51858	1412	0	48165
55	723.5	1420.8	0	0	0	17981	31376	35309	0	9380	0
56	575	159.1	0	0	0	0	65142	0	0	42641	57172
57	740.2	17.8	18650	0	37749	0	0	0	0	0	21651
58	1171.6	286.3	45297	0	0	0	23505	20107	55136	50580	0
59	555.3	1178.5	48257	64506	50235	0	70440	0	21951	55918	64476
60	195.2	540.2	3920	0	0	0	70376	0	0	8554	3659
